filepath,sentence
audio_data_aug/train/wavs/noise-B27___06_Revelation__ISLICEN1DA_16.wav,þegar lambið rauf fjórða innsiglið heyrði ég rödd fjórðu verunnar er sagði
audio_data_aug/train/wavs/noise-B21___02_1Peter______ISLICEN1DA_41.wav,þetta er köllun ykkar
audio_data_aug/train/wavs/noise-B14___02_2Thess______ISLICEN1DA_18.wav,sem blekkja þau sem eru á glötunarleið
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_59.wav,eigi hafa þeir forðabúr eða hlöðu
audio_data_aug/train/wavs/noise-B01___24_Matthew_____ISLICEN1DA_13.wav,þjóð mun rísa gegn þjóð og ríki gegn ríki þá verður hungur og landskjálftar á ýmsum stöðum
audio_data_aug/train/wavs/noise-B07___07_1CorinthiansISLICEN1DA_63.wav,hér eftir skulu jafnvel þau sem gift eru vera eins og þau væru það ekki
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_70.wav,og hann tók hönd barnsins og sagði
audio_data_aug/train/wavs/noise-B04___21_John________ISLICEN1DA_76.wav,fylg þú mér
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_62.wav,gekk þá annar bróðirinn og síðan hinn þriðji að eiga hana og eins allir sjö
audio_data_aug/train/wavs/noise-B26___01_Jude________ISLICEN1DA_39.wav,drottinn er kominn með sínum þúsundum heilagra til að halda dóm yfir öllum
audio_data_aug/train/wavs/noise-B20___03_James_______ISLICEN1DA_06.wav,sjáið einnig skipin svo stór sem þau eru og rekin af hörðum vindum
audio_data_aug/train/wavs/noise-B11___04_Philippians_ISLICEN1DA_01.wav,þess vegna mín elskuðu og þráðu systkin gleði mín og kóróna
audio_data_aug/train/wavs/noise-B05___05_Acts________ISLICEN1DA_67.wav,eftir hann kom fram júdas frá galíleu á dögum skrásetningarinnar og sneri fólki til fylgis við sig
audio_data_aug/train/wavs/noise-B06___06_Romans______ISLICEN1DA_21.wav,vitum að kristur upp vakinn frá dauðum deyr ekki framar
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_54.wav,sælar eru óbyrjur og þau móðurlíf er aldrei fæddu og þau brjóst sem engan nærðu
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_46.wav,en guð þekkir hjörtu yðar
audio_data_aug/train/wavs/noise-B01___27_Matthew_____ISLICEN1DA_60.wav,nú ætti guð að frelsa hann ef hann hefur mætur á honum eða sagði hann ekki
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_50.wav,hún gekk þá út og spurði móður sína um
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_39.wav,þú mátt ekki eiga konu bróður þíns
audio_data_aug/train/wavs/noise-B04___18_John________ISLICEN1DA_74.wav,en símon pétur stóð og vermdi sig
audio_data_aug/train/wavs/noise-B19___11_Hebrews_____ISLICEN1DA_46.wav,hann hugði að guð væri þess jafnvel megnugur að vekja upp frá dauðum og hann heimti líka son sinn úr helju
audio_data_aug/train/wavs/noise-B05___10_Acts________ISLICEN1DA_54.wav,en guð hefur sýnt mér að ég á engan að kalla vanheilagan eða óhreinan
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_22.wav,réttlætið
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_36.wav,nei
audio_data_aug/train/wavs/noise-B03___24_Luke________ISLICEN1DA_69.wav,lítið á hendur mínar og fætur að það er ég sjálfur
audio_data_aug/train/wavs/noise-B05___14_Acts________ISLICEN1DA_03.wav,en gyðingar sem ekki vildu trúa vöktu æsing með heiðingjum og illan hug
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_04.wav,allir neyttu hinnar sömu andlegu fæðu og drukku hinn sama andlega drykk
audio_data_aug/train/wavs/noise-B19___03_Hebrews_____ISLICEN1DA_02.wav,horfið til jesú
audio_data_aug/train/wavs/noise-B10___02_Ephesians___ISLICEN1DA_11.wav,því að af náð eruð þið hólpin orðin fyrir trú þetta
audio_data_aug/train/wavs/noise-B07___15_1CorinthiansISLICEN1DA_79.wav,sáð er jarðneskum líkama en upp rís andlegur líkami
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_29.wav,og hér fer hann með vald frá æðstu prestunum að færa í bönd alla þá sem ákalla nafn þitt
audio_data_aug/train/wavs/noise-B19___07_Hebrews_____ISLICEN1DA_03.wav,og
audio_data_aug/train/wavs/noise-B04___20_John________ISLICEN1DA_08.wav,pétur fór þá út og hinn lærisveinninn og þeir komu til grafarinnar
audio_data_aug/train/wavs/noise-B27___21_Revelation__ISLICEN1DA_19.wav,sá er sigrar mun erfa þetta og ég mun vera hans guð og hann mun vera mitt barn
audio_data_aug/train/wavs/noise-B01___13_Matthew_____ISLICEN1DA_13.wav,og sumt þrítugfaldan
audio_data_aug/train/wavs/noise-B20___02_James_______ISLICEN1DA_44.wav,svo var og um skækjuna rahab réttlættist hún ekki af verkum
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_58.wav,drottinn
audio_data_aug/train/wavs/noise-B04___02_John________ISLICEN1DA_37.wav,brjótið þetta musteri og ég skal reisa það á þrem dögum
audio_data_aug/train/wavs/noise-B05___16_Acts________ISLICEN1DA_72.wav,fangavörðurinn flutti páli þessi orð
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_18.wav,ég svaraði
audio_data_aug/train/wavs/noise-B02___12_Mark________ISLICEN1DA_67.wav,ekkert boðorð annað er þessum meira
audio_data_aug/train/wavs/noise-B01___14_Matthew_____ISLICEN1DA_06.wav,en á afmælisdegi heródesar sté dóttir heródíasar dans frammi fyrir gestunum
audio_data_aug/train/wavs/noise-B19___07_Hebrews_____ISLICEN1DA_10.wav,er líkur syni guðs hann heldur áfram að vera prestur um aldur
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_33.wav,ég er ljós heimsins
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_28.wav,eða eruð þið skírð til nafns páls
audio_data_aug/train/wavs/noise-B01___04_Matthew_____ISLICEN1DA_05.wav,heldur á hverju því orði sem fram gengur af guðs munni þá tekur djöfullinn jesú með sér í borgina helgu
audio_data_aug/train/wavs/noise-B05___26_Acts________ISLICEN1DA_42.wav,fyrir því gerðist ég agrippa konungur eigi óhlýðinn hinni himnesku vitrun heldur boðaði ég fyrst þeim í damaskus og í jerúsalem
audio_data_aug/train/wavs/noise-B27___06_Revelation__ISLICEN1DA_15.wav,en eigi skalt þú spilla olíunni og víninu
audio_data_aug/train/wavs/noise-B07___06_1CorinthiansISLICEN1DA_34.wav,því að ritað er
audio_data_aug/train/wavs/noise-B27___02_Revelation__ISLICEN1DA_24.wav,þeim er sigrar mun sá annar dauði ekki granda
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_89.wav,hann mun búa sig láta þá setjast að borði og koma og þjóna þeim
audio_data_aug/train/wavs/noise-B06___12_Romans______ISLICEN1DA_16.wav,sé það kennsla skal sinna henni
audio_data_aug/train/wavs/noise-B19___06_Hebrews_____ISLICEN1DA_04.wav,upprisu dauðra og eilífan dóm
audio_data_aug/train/wavs/noise-B19___03_Hebrews_____ISLICEN1DA_10.wav,gert
audio_data_aug/train/wavs/noise-B05___27_Acts________ISLICEN1DA_73.wav,undu upp framseglið
audio_data_aug/train/wavs/noise-B01___15_Matthew_____ISLICEN1DA_48.wav,þá fólkið undraðist þegar það sá mállausa mæla fatlaða heila
audio_data_aug/train/wavs/noise-B03___02_Luke________ISLICEN1DA_70.wav,og vissu foreldrar hans það eigi
audio_data_aug/train/wavs/noise-B27___19_Revelation__ISLICEN1DA_48.wav,með þeim hafði hann leitt þá afvega sem höfðu fengið merki dýrsins og tilbeðið líkneski þess
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_70.wav,yfirskrift var yfir honum
audio_data_aug/train/wavs/noise-B23___04_1John_______ISLICEN1DA_45.wav,fáum við elskað hvert annað og lifað eins og kristur lifði hér á jörð
audio_data_aug/train/wavs/noise-B19___13_Hebrews_____ISLICEN1DA_20.wav,látið náð guðs næra hjartað
audio_data_aug/train/wavs/noise-B06___16_Romans______ISLICEN1DA_25.wav,heilsið asynkritusi flegon hermesi patrobasi
audio_data_aug/train/wavs/noise-B03___24_Luke________ISLICEN1DA_76.wav,þau fengu honum stykki af steiktum fiski og hann tók það og neytti þess frammi fyrir þeim
audio_data_aug/train/wavs/noise-B10___03_Ephesians___ISLICEN1DA_14.wav,sem allt hefur skapað
audio_data_aug/train/wavs/noise-B09___03_Galatians___ISLICEN1DA_48.wav,fjarri fer því
audio_data_aug/train/wavs/noise-B05___28_Acts________ISLICEN1DA_15.wav,höfðu þeir okkur í hávegum og er við skyldum sigla gáfu þeir okkur allt sem við þurftum til fararinnar
audio_data_aug/train/wavs/noise-B27___05_Revelation__ISLICEN1DA_17.wav,lambið kom og tók við bókinni úr hægri hendi hans er í hásætinu sat
audio_data_aug/train/wavs/noise-B02___14_Mark________ISLICEN1DA_09.wav,og þeir atyrtu hana
audio_data_aug/train/wavs/noise-B21___05_1Peter______ISLICEN1DA_07.wav,þegar hinn æðsti hirðir birtist munuð þið öðlast þann dýrðarsveig
audio_data_aug/train/wavs/noise-B10___02_Ephesians___ISLICEN1DA_16.wav,erum smíð guðs sköpuð í kristi jesú til góðra verka
audio_data_aug/train/wavs/noise-B02___13_Mark________ISLICEN1DA_15.wav,þegar þér spyrjið hernað og ófriðartíðindi
audio_data_aug/train/wavs/noise-B27___12_Revelation__ISLICEN1DA_06.wav,á höfðunum sjö ennisdjásn
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_72.wav,ger okkur guði sem geta farið fyrir okkur því að ekki vitum við hvað orðið er af móse þeim
audio_data_aug/train/wavs/noise-B27___14_Revelation__ISLICEN1DA_09.wav,þetta eru þeir sem ekki hafa saurgast með konum
audio_data_aug/train/wavs/noise-B06___16_Romans______ISLICEN1DA_48.wav,honum einum alvitrum guði sé sakir jesú krists
audio_data_aug/train/wavs/noise-B04___14_John________ISLICEN1DA_05.wav,ég er farinn burt og hef búið yður stað kem ég aftur og tek yður til mín
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_77.wav,enn verð ég hjá ykkur skamma stund og þá fer ég aftur
audio_data_aug/train/wavs/noise-B19___03_Hebrews_____ISLICEN1DA_32.wav,ef þér heyrið raust hans í dag þá forherðið ekki hjörtu yðar eins og í uppreisninni
audio_data_aug/train/wavs/noise-B03___03_Luke________ISLICEN1DA_54.wav,á þér hef ég velþóknun
audio_data_aug/train/wavs/noise-B03___17_Luke________ISLICEN1DA_09.wav,þá skalt þú fyrirgefa honum
audio_data_aug/train/wavs/noise-B27___10_Revelation__ISLICEN1DA_23.wav,þá var sagt við mig enn átt þú að flytja spámannlegan boðskap
audio_data_aug/train/wavs/noise-B07___08_1CorinthiansISLICEN1DA_17.wav,og finnst þeir þá saurga sig því að samviska þeirra er veik fyrir
audio_data_aug/train/wavs/noise-B05___14_Acts________ISLICEN1DA_04.wav,gegn kristnum mönnum
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_140.wav,þá sagði jesús við þá tólf
audio_data_aug/train/wavs/noise-B02___14_Mark________ISLICEN1DA_31.wav,og bjuggu til páskamáltíðar
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_27.wav,drepum hann þá fáum við arfinn
audio_data_aug/train/wavs/noise-B01___02_Matthew_____ISLICEN1DA_08.wav,þá kallaði heródes vitringana til sín á laun og grófst eftir því hjá þeim
audio_data_aug/train/wavs/noise-B02___09_Mark________ISLICEN1DA_17.wav,á leiðinni ofan fjallið bannaði jesús þeim að segja nokkrum frá því er þeir höfðu séð fyrr en mannssonurinn væri risinn upp frá dauðum
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_108.wav,hér skal staðar nema
audio_data_aug/train/wavs/noise-B27___18_Revelation__ISLICEN1DA_08.wav,og ég heyrði aðra rödd af himni sem sagði fólkið mitt forðið yður úr borginni
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_34.wav,því sagði ég að hann tæki af mínu og kunngjörði yður
audio_data_aug/train/wavs/noise-B03___06_Luke________ISLICEN1DA_96.wav,úr auga bróður þíns
audio_data_aug/train/wavs/noise-B01___08_Matthew_____ISLICEN1DA_25.wav,illu andana rak hann út með orði einu og alla þá er sjúkir voru
audio_data_aug/train/wavs/noise-B05___18_Acts________ISLICEN1DA_33.wav,þá tóku þeir allir sósþenes samkundustjóra og fóru að berja hann fyrir framan dómstólinn
audio_data_aug/train/wavs/noise-B02___11_Mark________ISLICEN1DA_20.wav,en þegar hann kom að því fann hann ekkert nema blöð enda var ekki fíknatíð
audio_data_aug/train/wavs/noise-B19___10_Hebrews_____ISLICEN1DA_33.wav,eða lögmálsbrota
audio_data_aug/train/wavs/noise-B27___02_Revelation__ISLICEN1DA_19.wav,heldur samkunda satans
audio_data_aug/train/wavs/noise-B22___01_2Peter______ISLICEN1DA_06.wav,með guðlegum mætti sínum hefur jesús kristur gefið okkur allt sem þarf til lífs
audio_data_aug/train/wavs/noise-B19___04_Hebrews_____ISLICEN1DA_11.wav,og aftur á þessum stað
audio_data_aug/train/wavs/noise-B07___09_1CorinthiansISLICEN1DA_01.wav,er ég ekki frjáls
audio_data_aug/train/wavs/noise-B27___01_Revelation__ISLICEN1DA_36.wav,ég sá hann féll ég fyrir fætur honum sem dauður væri
audio_data_aug/train/wavs/noise-B23___04_1John_______ISLICEN1DA_42.wav,við þekkjum kærleikann sem guð hefur á okkur og trúum á hann
audio_data_aug/train/wavs/noise-B05___02_Acts________ISLICEN1DA_41.wav,guð sannaði ykkur það með því að láta hann gera kraftaverk undur og tákn meðal ykkar
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_59.wav,syndir þínar eru þér fyrirgefnar eða segja
audio_data_aug/train/wavs/noise-B04___21_John________ISLICEN1DA_36.wav,enginn lærisveinanna dirfðist að spyrja hann
audio_data_aug/train/wavs/noise-B21___01_1Peter______ISLICEN1DA_19.wav,frelsun sálna ykkar
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_57.wav,en til þess kom ég og skíri með vatni að hann opinberist
audio_data_aug/train/wavs/noise-B08___12_2CorinthiansISLICEN1DA_03.wav,til þriðja himins
audio_data_aug/train/wavs/noise-B08___04_2CorinthiansISLICEN1DA_02.wav,þess vegna læt ég ekki hugfallast
audio_data_aug/train/wavs/noise-B11___02_Philippians_ISLICEN1DA_44.wav,þið sjáið hann og mér verði hughægra
audio_data_aug/train/wavs/noise-B08___01_2CorinthiansISLICEN1DA_19.wav,ég var aðþrengdur langt um megn fram
audio_data_aug/train/wavs/noise-B06___02_Romans______ISLICEN1DA_33.wav,en nú kallar þú þig gyðing treystir á lögmálið og ert hreykinn af guði þínum
audio_data_aug/train/wavs/noise-B06___01_Romans______ISLICEN1DA_30.wav,réttlæti guðs opinberast í því fyrir trú til trúar eins og ritað er
audio_data_aug/train/wavs/noise-B26___01_Jude________ISLICEN1DA_01.wav,júdas
audio_data_aug/train/wavs/noise-B08___10_2CorinthiansISLICEN1DA_22.wav,ég miklast ekki ómælt
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_23.wav,hverjum sem mælir gegn mannssyninum verður það fyrirgefið
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_14.wav,jesú krists
audio_data_aug/train/wavs/noise-B27___08_Revelation__ISLICEN1DA_19.wav,dó þá þriðjungur lífvera í hafinu og þriðjungur skipanna fórst
audio_data_aug/train/wavs/noise-B08___04_2CorinthiansISLICEN1DA_13.wav,lét það skína í hjarta mitt
audio_data_aug/train/wavs/noise-B19___05_Hebrews_____ISLICEN1DA_20.wav,þó að þið tímans vegna ættuð að vera kennarar þá hafið þið þess enn á ný
audio_data_aug/train/wavs/noise-B27___19_Revelation__ISLICEN1DA_25.wav,þá sá ég himininn opinn
audio_data_aug/train/wavs/noise-B27___14_Revelation__ISLICEN1DA_28.wav,og þeir sem tilbiðja dýrið og líkneski þess og hver sem ber merki þess
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_60.wav,í drottni
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_56.wav,sjálfur þekkti ég hann ekki
audio_data_aug/train/wavs/noise-B06___02_Romans______ISLICEN1DA_38.wav,þú prédikar að ekki skuli stela og stelur þó
audio_data_aug/train/wavs/noise-B22___03_2Peter______ISLICEN1DA_21.wav,en dagur drottins mun koma sem þjófur og þá munu himnarnir líða undir lok með miklum gný
audio_data_aug/train/wavs/noise-B03___03_Luke________ISLICEN1DA_08.wav,eins og ritað er í bók jesaja spámanns
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_115.wav,ætli nokkur af höfðingjunum hafi farið að trúa á hann eða þá af faríseum
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_09.wav,þá umberið þið það mætavel
audio_data_aug/train/wavs/noise-B04___04_John________ISLICEN1DA_57.wav,guð er andi
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_126.wav,þetta varð til þess að ritningin rættist
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_136.wav,og hefur aldrei þekkt sannleikann því í honum finnst enginn sannleikur
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_113.wav,og veitir mér líf
audio_data_aug/train/wavs/noise-B27___05_Revelation__ISLICEN1DA_16.wav,sem eru sendir út um alla jörðina
audio_data_aug/train/wavs/noise-B07___09_1CorinthiansISLICEN1DA_13.wav,hver fer nokkurn tíma í stríð á eigin kostnað
audio_data_aug/train/wavs/noise-B03___15_Luke________ISLICEN1DA_47.wav,tóku menn nú að gera sér glaðan dag
audio_data_aug/train/wavs/noise-B23___01_1John_______ISLICEN1DA_02.wav,það sem við höfum séð með augunum það sem við horfðum á og hendurnar þreifuðu á
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_95.wav,meðan hann sendi fólkið brott og þá er hann hafði kvatt það fór hann til fjalls að biðjast fyrir
audio_data_aug/train/wavs/noise-B08___13_2CorinthiansISLICEN1DA_14.wav,en ég vona að þið komist að raun um að ég hef staðist prófið
audio_data_aug/train/wavs/noise-B06___07_Romans______ISLICEN1DA_21.wav,ég hefði ekki vitað um girndina hefði lögmálið ekki sagt
audio_data_aug/train/wavs/noise-B03___21_Luke________ISLICEN1DA_67.wav,en hann mun koma yfir alla menn sem byggja gjörvalla jörð
audio_data_aug/train/wavs/noise-B02___03_Mark________ISLICEN1DA_07.wav,en þeir þögðu og
audio_data_aug/train/wavs/noise-B05___12_Acts________ISLICEN1DA_17.wav,far þú í yfirhöfn þína og fylg mér
audio_data_aug/train/wavs/noise-B19___02_Hebrews_____ISLICEN1DA_42.wav,til þess að hann með dauða sínum gæti að engu gert þann sem hefur mátt dauðans það er að segja djöfulinn
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_138.wav,trú þú aðeins og mun hún heil verða
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_59.wav,ég er reiðubúinn að fylgja þér bæði í fangelsi og dauða
audio_data_aug/train/wavs/noise-B21___05_1Peter______ISLICEN1DA_25.wav,söfnuðurinn í babýlon útvalinn eins og þið og markús sonur minn
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_47.wav,án þess vér hefðum þeim neitt um boðið
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_80.wav,jesús sagði við hann slíðra sverð þitt allir sem sverði bregða munu fyrir sverði falla
audio_data_aug/train/wavs/noise-B20___05_James_______ISLICEN1DA_41.wav,ef einhver meðal ykkar villist frá sannleikanum og einhver snýr honum aftur
audio_data_aug/train/wavs/noise-B04___13_John________ISLICEN1DA_31.wav,sá sem laugast hefur þarf ekki að þvost nema
audio_data_aug/train/wavs/noise-B05___17_Acts________ISLICEN1DA_75.wav,meðal þeirra var díónýsíus einn úr areopagus-dóminum og kona nokkur
audio_data_aug/train/wavs/noise-B05___12_Acts________ISLICEN1DA_21.wav,þeir gengu nú fram hjá innri og ytri verðinum og komu að járnhliðinu sem farið er um til borgarinnar
audio_data_aug/train/wavs/noise-B05___01_Acts________ISLICEN1DA_48.wav,einhver þeirra manna sem með okkur voru alla tíð meðan drottinn jesús gekk inn og út á meðal okkar
audio_data_aug/train/wavs/noise-B04___09_John________ISLICEN1DA_87.wav,hvaðan þessi maður er
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_52.wav,hvíldardagurinn varð til mannsins vegna og eigi maðurinn vegna hvíldardagsins
audio_data_aug/train/wavs/noise-B22___02_2Peter______ISLICEN1DA_31.wav,þeir fleka óstyrkar sálir hjarta þeirra hefur tamið sér ágirnd
audio_data_aug/train/wavs/noise-B19___04_Hebrews_____ISLICEN1DA_27.wav,enginn skapaður hlutur er guði hulinn allt er bert og öndvert
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_26.wav,en hún sagði
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_27.wav,skyldi páll hafa verið krossfestur fyrir ykkur
audio_data_aug/train/wavs/noise-B24___01_2John_______ISLICEN1DA_16.wav,þetta er afvegaleiðandinn og andkristurinn
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_47.wav,bæði gyðingum og grikkjum krist kraft guðs og speki guðs
audio_data_aug/train/wavs/noise-B05___25_Acts________ISLICEN1DA_28.wav,nokkrum dögum síðar komu agrippa konungur og berníke til sesareu
audio_data_aug/train/wavs/noise-B01___20_Matthew_____ISLICEN1DA_34.wav,það veitist þeim sem faðir minn hefur ákveðið
audio_data_aug/train/wavs/noise-B02___15_Mark________ISLICEN1DA_29.wav,og hræktu á hann féllu á kné og hylltu hann þegar
audio_data_aug/train/wavs/noise-B02___10_Mark________ISLICEN1DA_17.wav,menn færðu börn til jesú að hann snerti þau en lærisveinarnir átöldu þá
audio_data_aug/train/wavs/noise-B01___11_Matthew_____ISLICEN1DA_24.wav,og ekki vilduð þér dansa vér sungum yður sorgarljóð og ekki vilduð þér
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_44.wav,heldur lifi guði
audio_data_aug/train/wavs/noise-B11___02_Philippians_ISLICEN1DA_13.wav,hann kom fram sem maður lægði sjálfan sig og varð hlýðinn allt til dauða
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_03.wav,já sú stund kemur að hver sem líflætur yður þykist veita guði þjónustu
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_40.wav,enda þótt ég vitni um sjálfan mig er vitnisburður minn gildur
audio_data_aug/train/wavs/noise-B01___27_Matthew_____ISLICEN1DA_49.wav,hann bragðaði það en vildi ekki drekka
audio_data_aug/train/wavs/noise-B08___06_2CorinthiansISLICEN1DA_12.wav,með heilögum anda með falslausum kærleika með orði sannleikans
audio_data_aug/train/wavs/noise-B27___04_Revelation__ISLICEN1DA_16.wav,fyrsta veran var lík ljóni önnur veran lík uxa þriðja veran hafði ásjónu sem maður
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_46.wav,og konungur sagði við stúlkuna
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_130.wav,hvers vegna kunnið þér ekki að meta það sem nú er að gerast
audio_data_aug/train/wavs/noise-B04___17_John________ISLICEN1DA_08.wav,ég hef gert þig dýrlegan á jörðu
audio_data_aug/train/wavs/noise-B04___15_John________ISLICEN1DA_28.wav,enginn á meiri kærleik en þann að leggja líf sitt í sölurnar fyrir vini sína
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_39.wav,þetta varð kunnugt öllum efesusbúum bæði gyðingum og grikkjum
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_36.wav,og ef ekki er hægt að treysta yður fyrir eigum annarra
audio_data_aug/train/wavs/noise-B01___15_Matthew_____ISLICEN1DA_22.wav,skýrðu fyrir okkur líkinguna
audio_data_aug/train/wavs/noise-B05___20_Acts________ISLICEN1DA_37.wav,frá míletus sendi hann til efesus og boðaði til sín öldunga safnaðarins
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_98.wav,jesús vissi
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_42.wav,næsta dag kom hann þar að sem tveir þeirra slógust hann reyndi að stilla til friðar með þeim og sagði
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_27.wav,það er því ekki mikið þótt þjónar hans taki á sig mynd réttlætisþjóna
audio_data_aug/train/wavs/noise-B05___04_Acts________ISLICEN1DA_59.wav,eigi var heldur neinn þurfandi meðal þeirra því að allir landeigendur og húseigendur
audio_data_aug/train/wavs/noise-B27___05_Revelation__ISLICEN1DA_35.wav,og allt sem í þeim er tók undir og sagði
audio_data_aug/train/wavs/noise-B03___06_Luke________ISLICEN1DA_80.wav,dæmið ekki og þér munuð eigi verða dæmd
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_72.wav,en páll sagði
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_66.wav,en þér munuð deyja í synd yðar
audio_data_aug/train/wavs/noise-B09___02_Galatians___ISLICEN1DA_28.wav,en
audio_data_aug/train/wavs/noise-B05___07_Acts________ISLICEN1DA_34.wav,þrjá mánuði var hann fóstraður í húsi föður síns
audio_data_aug/train/wavs/noise-B07___13_1CorinthiansISLICEN1DA_09.wav,væri ég ekki neitt
audio_data_aug/train/wavs/noise-B07___07_1CorinthiansISLICEN1DA_75.wav,þetta segi ég sjálfum ykkur til gagns ekki til þess að valda ykkur óþægindum heldur til
audio_data_aug/train/wavs/noise-B04___18_John________ISLICEN1DA_47.wav,hinn lærisveinninn sem var kunnugur æðsta prestinum
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_51.wav,og hann svaraði þeim
audio_data_aug/train/wavs/noise-B09___03_Galatians___ISLICEN1DA_20.wav,en
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_64.wav,því hann er hásæti guðs né við jörðina því hún er skör fóta hans
audio_data_aug/train/wavs/noise-B07___04_1CorinthiansISLICEN1DA_24.wav,krist
audio_data_aug/train/wavs/noise-B01___24_Matthew_____ISLICEN1DA_71.wav,tanna
audio_data_aug/train/wavs/noise-B03___06_Luke________ISLICEN1DA_91.wav,hvernig færð þú sagt við bróður þinn
audio_data_aug/train/wavs/noise-B27___18_Revelation__ISLICEN1DA_04.wav,og óhreinna og viðbjóðslegra fugla
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_21.wav,faríseinn sté fram og baðst þannig fyrir
audio_data_aug/train/wavs/noise-B22___03_2Peter______ISLICEN1DA_26.wav,þá munu himnarnir leysast sundur í eldi og frumefnin bráðna af brennandi hita
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_30.wav,líf
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_15.wav,af því ég vitna um að verk hans séu vond þið
audio_data_aug/train/wavs/noise-B01___19_Matthew_____ISLICEN1DA_23.wav,ef þú vilt inn ganga til lífsins þá haltu boðorðin
audio_data_aug/train/wavs/noise-B04___16_John________ISLICEN1DA_78.wav,lærisveinar hans sögðu
audio_data_aug/train/wavs/noise-B16___02_2Timothy____ISLICEN1DA_24.wav,og fer rétt með orð sannleikans
audio_data_aug/train/wavs/noise-B01___23_Matthew_____ISLICEN1DA_38.wav,en innan eru þær fullar af dauðra manna beinum og alls kyns óþverra
